,Title,published_date,Views,Likes,Comments,Month
161,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30 01:00:10+00:00,2405,117,34,Jul
162,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27 15:00:30+00:00,6275,265,112,Jul
163,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24 15:00:11+00:00,8601,250,193,Jul
164,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22 15:00:05+00:00,1904,96,27,Jul
165,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20 15:00:08+00:00,29521,558,90,Jul
166,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17 16:00:05+00:00,430116,8878,459,Jul
167,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16 02:00:09+00:00,30919,1125,118,Jul
168,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13 16:00:01+00:00,3990,133,50,Jul
169,The Best Computer for Data Science Beginners,2020-07-10 16:00:09+00:00,40718,869,160,Jul
170,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08 21:00:09+00:00,6220,228,82,Jul
171,Critiquing MY OWN Data Science Resume,2020-07-06 16:00:30+00:00,12992,397,86,Jul
172,Where to Start Learning Data Science,2020-07-03 16:00:04+00:00,19565,791,125,Jul
173,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01 15:00:12+00:00,4383,200,33,Jul
174,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29 15:00:08+00:00,4894,184,52,Jun
175,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26 15:00:10+00:00,17080,554,77,Jun
176,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22 13:00:03+00:00,2476,82,40,Jun
177,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20 02:09:18+00:00,2415,136,49,Jun
178,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15 13:00:12+00:00,4487,166,46,Jun
179,Why You're Struggling to Learn Data Science,2020-06-12 13:00:17+00:00,15478,995,157,Jun
180,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08 13:00:21+00:00,12427,364,70,Jun
181,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05 13:00:26+00:00,25431,702,142,Jun
182,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01 13:00:32+00:00,5778,154,53,Jun
183,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29 13:00:21+00:00,81471,2295,277,May
184,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25 13:00:13+00:00,21126,488,81,May
185,Different Data Science Roles Explained (by a Data Scientist),2020-05-22 13:01:09+00:00,58794,2037,176,May
186,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18 13:00:22+00:00,11545,180,53,May
187,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15 13:30:00+00:00,146750,4687,195,May
188,10000 Subscriber and 100th Video Special (Data Science),2020-05-13 13:00:17+00:00,3117,145,115,May
189,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11 13:00:33+00:00,4688,157,74,May
190,How I Would Learn Data Science (If I Had to Start Over),2020-05-08 13:00:03+00:00,1408812,48753,1985,May
191,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04 13:00:12+00:00,5765,200,42,May
192,What You Need to Know for a Data Science Internship,2020-05-01 13:00:10+00:00,23617,1223,60,May
193,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27 13:00:10+00:00,8773,355,53,Apr
194,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24 13:00:32+00:00,15160,452,99,Apr
195,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22 13:00:30+00:00,3314,88,25,Apr
196,5 Tips for Crushing the Work From Home Life,2020-04-20 13:00:04+00:00,5528,198,38,Apr
197,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17 13:00:04+00:00,24301,770,129,Apr
198,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15 13:00:32+00:00,32669,764,99,Apr
199,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13 13:00:03+00:00,48575,955,151,Apr
200,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10 13:00:15+00:00,78685,1973,215,Apr
201,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08 13:00:19+00:00,88470,1838,279,Apr
202,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06 13:00:07+00:00,144616,3738,631,Apr
203,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03 13:00:12+00:00,228083,5520,174,Apr
204,When Data Science Goes Wrong,2020-03-30 13:00:06+00:00,1849,106,30,Mar
205,How to ULTRALEARN Data Science,2020-03-27 13:00:02+00:00,62655,3789,169,Mar
206,Why Right NOW is a Great Time to Learn Data Science,2020-03-23 13:00:30+00:00,4561,267,50,Mar
207,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20 13:00:22+00:00,14677,477,45,Mar
